Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999,Shooting_Accuracy,Accuracy_Difference
234,Kevin De Bruyne,MF,be Belgium,34,1991,4.2,1,20,5,25.0,4.71,1.18,0.05,0.2,0,0,Matches,e46012d4,25.0,0.0
987,Cristian Volpato,MF,au Australia,22,2003,1.8,0,4,1,25.0,2.25,0.56,0.0,0.0,0,0,Matches,72f87f25,25.0,0.0
629,Jamiro Monteiro,MF,cv Cabo Verde,32,1993,3.1,0,5,1,20.0,1.6,0.32,0.0,0.0,0,0,Matches,d384bddd,20.0,0.0
349,Anthony Gordon,MF,eng England,25,2001,4.4,1,6,4,66.7,1.36,0.91,0.17,0.25,0,0,Matches,2bd83368,66.66666666666666,0.03333333333334565
821,Nathan Saliba,MF,ca Canada,22,2004,2.0,1,3,1,33.3,1.48,0.49,0.33,1.0,0,0,Matches,44cfc681,33.33333333333333,0.03333333333333144
691,Michael Olise,MF,fr France,24,2001,7.2,0,20,5,25.0,2.79,0.7,0.0,0.0,0,0,Matches,c4486bac,25.0,0.0
889,Marko Stamenic,MF,nz New Zealand,24,2002,3.0,0,3,0,0.0,1.0,0.0,0.0,,0,0,Matches,690d1049,0.0,0.0
543,Dodi Lukebakio,MF,be Belgium,28,1997,1.8,0,7,1,14.3,3.84,0.55,0.0,0.0,0,0,Matches,0c61c77c,14.285714285714285,0.014285714285716011
364,Bruno Guimarães,MF,br Brazil,28,1997,4.6,0,8,2,25.0,1.73,0.43,0.0,0.0,0,1,Matches,82518f62,25.0,0.0
746,Ruben Providence,MF,ht Haiti,24,2001,2.4,0,4,1,25.0,1.64,0.41,0.0,0.0,0,0,Matches,26bab383,25.0,0.0
49,Thiago Almada,MF,ar Argentina,25,2001,2.7,0,5,2,40.0,1.87,0.75,0.0,0.0,0,0,Matches,27f33438,40.0,0.0
790,Rodri,MF,es Spain,29,1996,8.0,0,7,0,0.0,0.87,0.0,0.0,,0,0,Matches,6434f10d,0.0,0.0
304,Abbosbek Fayzullayev,MF,uz Uzbekistan,22,2003,2.4,1,3,2,66.7,1.23,0.82,0.33,0.5,0,0,Matches,ef1d36a1,66.66666666666666,0.03333333333334565
290,Stephen Eustáquio,MF,ca Canada,29,1996,4.4,1,4,1,25.0,0.92,0.23,0.25,1.0,0,0,Matches,577efaec,25.0,0.0
463,Elijah Just,MF,nz New Zealand,26,2000,2.9,3,7,5,71.4,2.39,1.7,0.43,0.6,0,0,Matches,0c295d6e,71.42857142857143,0.028571428571424917
599,Scott McTominay,MF,sct Scotland,29,1996,3.0,0,8,3,37.5,2.67,1.0,0.0,0.0,0,0,Matches,d93c2511,37.5,0.0
